,ts_code,symbol,name,area,industry
386,000913.SZ,000913,钱江摩托,浙江,摩托车
387,000915.SZ,000915,华特达因,山东,化学制药
388,000917.SZ,000917,电广传媒,湖南,影视音像
389,000918.SZ,000918,嘉凯城,浙江,全国地产
390,000919.SZ,000919,金陵药业,江苏,化学制药
391,000920.SZ,000920,沃顿科技,贵州,环境保护
392,000921.SZ,000921,海信家电,广东,家用电器
393,000922.SZ,000922,佳电股份,黑龙江,电气设备
394,000923.SZ,000923,河钢资源,河北,普钢
395,000925.SZ,000925,众合科技,浙江,专用机械
396,000926.SZ,000926,福星股份,湖北,区域地产
397,000927.SZ,000927,中国铁物,天津,批发业
398,000928.SZ,000928,中钢国际,吉林,建筑工程
399,000929.SZ,000929,兰州黄河,甘肃,啤酒
400,000930.SZ,000930,中粮科技,安徽,农业综合
401,000931.SZ,000931,中关村,北京,生物制药
402,000932.SZ,000932,华菱钢铁,湖南,普钢
403,000933.SZ,000933,神火股份,河南,铝
404,000935.SZ,000935,四川双马,四川,水泥
405,000936.SZ,000936,华西股份,江苏,化纤
406,000937.SZ,000937,冀中能源,河北,煤炭开采
407,000938.SZ,000938,紫光股份,北京,软件服务
408,000948.SZ,000948,南天信息,云南,软件服务
409,000949.SZ,000949,新乡化纤,河南,化纤
410,000950.SZ,000950,重药控股,重庆,医药商业
411,000951.SZ,000951,中国重汽,山东,汽车整车
412,000952.SZ,000952,广济药业,湖北,化学制药
413,000953.SZ,000953,河化股份,广西,化学制药
414,000955.SZ,000955,欣龙控股,海南,纺织
415,000957.SZ,000957,中通客车,山东,汽车整车
416,000958.SZ,000958,东方能源,河北,多元金融
417,000959.SZ,000959,首钢股份,北京,普钢
418,000960.SZ,000960,锡业股份,云南,小金属
419,000961.SZ,000961,中南建设,江苏,建筑工程
420,000962.SZ,000962,东方钽业,宁夏,小金属
421,000963.SZ,000963,华东医药,浙江,化学制药
422,000965.SZ,000965,天保基建,天津,区域地产
423,000966.SZ,000966,长源电力,湖北,火力发电
424,000967.SZ,000967,盈峰环境,浙江,环境保护
425,000968.SZ,000968,蓝焰控股,山西,石油开采
426,000969.SZ,000969,安泰科技,北京,小金属
427,000970.SZ,000970,中科三环,北京,元器件
428,000971.SZ,000971,ST高升,湖北,互联网
429,000972.SZ,000972,*ST中基,新疆,食品
430,000973.SZ,000973,佛塑科技,广东,塑料
431,000975.SZ,000975,银泰黄金,内蒙,黄金
432,000976.SZ,000976,华铁股份,广东,运输设备
433,000977.SZ,000977,浪潮信息,山东,IT设备
434,000978.SZ,000978,桂林旅游,广西,旅游景点
435,000980.SZ,000980,*ST众泰,浙江,汽车配件
436,000981.SZ,000981,*ST银亿,甘肃,汽车配件
437,000982.SZ,000982,中银绒业,宁夏,纺织
438,000983.SZ,000983,山西焦煤,山西,煤炭开采
439,000985.SZ,000985,大庆华科,黑龙江,化工原料
440,000987.SZ,000987,越秀金控,广东,多元金融
441,000988.SZ,000988,华工科技,湖北,电器仪表
442,000989.SZ,000989,九芝堂,湖南,中成药
443,000990.SZ,000990,诚志股份,江西,化工原料
444,000993.SZ,000993,闽东电力,福建,水力发电
445,000995.SZ,000995,皇台酒业,甘肃,白酒
446,000996.SZ,000996,中国中期,北京,汽车服务
447,000997.SZ,000997,新大陆,福建,软件服务
448,000998.SZ,000998,隆平高科,湖南,种植业
449,000999.SZ,000999,华润三九,深圳,中成药
450,001201.SZ,001201,东瑞股份,广东,农业综合
451,001202.SZ,001202,炬申股份,广东,仓储物流
452,001203.SZ,001203,大中矿业,内蒙,普钢
453,001205.SZ,001205,盛航股份,江苏,水运
454,001206.SZ,001206,依依股份,天津,造纸
455,001207.SZ,001207,联科科技,山东,化工原料
456,001208.SZ,001208,华菱线缆,湖南,电气设备
457,001209.SZ,001209,洪兴股份,广东,服饰
458,001210.SZ,001210,金房节能,北京,供气供热
459,001211.SZ,001211,双枪科技,浙江,家居用品
460,001212.SZ,001212,中旗新材,广东,其他建材
461,001213.SZ,001213,中铁特货,北京,仓储物流
462,001215.SZ,001215,千味央厨,河南,食品
463,001216.SZ,001216,华瓷股份,湖南,家居用品
464,001217.SZ,001217,华尔泰,安徽,化工原料
